aar	aar
abk	abk
ace	ace
ach	ach
ada	ada
ady	ady
afa	afa
afh	afh
afr	afr
ain	ain
aka	aka
akk	akk
ale	ale
alg	alg
alt	alt
amh	amh
ang	ang
anp	anp
apa	apa
ara	ara
arc	arc
arg	arg
arn	arn
arp	arp
art	art
arw	arw
arw	arw
hye	hye
ast	ast
ath	ath
aus	aus
ava	ava
ave	ave
awa	awa
aym	aym
aze	aze
bad	bad
bai	bai
bak	bak
bal	bal
bam	bam
ban	ban
bas	bas
bat	bat
bej	bej
bel	bel
bem	bem
ben	ben
ber	ber
bho	bho
bih	bih
bik	bik
bin	bin
bis	bis
bla	bla
bnt	bnt
bos	bos
bra	bra
bre	bre
btk	btk
bua	bua
bug	bug
bul	bul
byn	byn
cad	cad
cai	cai
car	car
cat	cat
cau	cau
ceb	ceb
cel	cel
ces	ces
cha	cha
chb	chb
che	che
chg	chg
chk	chk
chm	chm
chn	chn
cho	cho
chp	chp
chr	chr
chu	chu
chv	chv
chy	chy
cmc	cmc
cop	cop
cor	cor
cos	cos
cpe	cpe
cpf	cpf
cpp	cpp
cre	cre
crh	crh
crp	crp
csb	csb
cus	cus
dak	dak
dan	dan
dar	dar
day	day
del	del
den	den
dgr	dgr
din	din
div	div
doi	doi
dra	dra
dsb	dsb
dua	dua
dum	dum
dyu	dyu
dzo	dzo
efi	efi
egy	egy
eka	eka
elx	elx
eng	eng
enm	enm
epo	epo
est	est
ewe	ewe
ewo	ewo
fan	fan
fao	fao
fat	fat
fij	fij
fil	fil
fin	fin
fiu	fiu
fon	fon
frm	frm
fro	fro
frr	frr
frs	frs
fry	fry
ful	ful
fur	fur
gaa	gaa
gay	gay
gba	gba
gem	gem
gez	gez
gil	gil
gla	gla
gle	gle
glg	glg
glv	glv
gmh	gmh
goh	goh
gon	gon
gor	gor
got	got
grb	grb
grc	grc
grn	grn
gsw	gsw
guj	guj
gwi	gwi
hai	hai
hat	hat
hau	hau
haw	haw
heb	heb
her	her
hil	hil
him	him
hin	hin
hit	hit
hmn	hmn
hmo	hmo
hrv	hrv
hsb	hsb
hun	hun
hup	hup
iba	iba
ibo	ibo
ido	ido
iii	iii
ijo	ijo
iku	iku
ile	ile
ilo	ilo
ina	ina
inc	inc
ind	ind
ine	ine
inh	inh
ipk	ipk
ira	ira
iro	iro
ita	ita
jav	jav
jbo	jbo
jpn	jpn
jpr	jpr
jrb	jrb
kaa	kaa
kab	kab
kac	kac
kal	kal
kam	kam
kan	kan
kar	kar
kas	kas
kau	kau
kaw	kaw
kaz	kaz
kbd	kbd
kha	kha
khi	khi
khm	khm
kho	kho
kik	kik
kin	kin
kir	kir
kmb	kmb
kok	kok
kom	kom
kon	kon
kor	kor
kos	kos
kpe	kpe
krc	krc
krl	krl
kro	kro
kru	kru
kua	kua
kum	kum
kur	kur
kut	kut
lad	lad
lah	lah
lam	lam
lao	lao
lat	lat
lav	lav
lez	lez
lim	lim
lin	lin
lit	lit
lol	lol
loz	loz
ltz	ltz
lua	lua
lub	lub
lug	lug
lui	lui
lun	lun
luo	luo
lus	lus
mad	mad
mag	mag
mah	mah
mai	mai
mak	mak
mal	mal
man	man
map	map
mar	mar
mas	mas
mdf	mdf
mdr	mdr
men	men
mga	mga
mic	mic
min	min
mis	mis
mkh	mkh
mlg	mlg
mlt	mlt
mnc	mnc
mni	mni
mno	mno
moh	moh
mon	mon
mos	mos
mul	mul
mun	mun
mus	mus
mwl	mwl
mwr	mwr
myn	myn
myv	myv
nah	nah
nai	nai
nap	nap
nau	nau
nav	nav
nbl	nbl
nde	nde
ndo	ndo
nds	nds
nep	nep
new	new
nia	nia
nic	nic
niu	niu
nno	nno
nob	nob
nog	nog
non	non
nor	nor
nqo	nqo
nso	nso
nub	nub
nwc	nwc
nya	nya
nym	nym
nyn	nyn
nyo	nyo
nzi	nzi
oci	oci
oji	oji
ori	ori
orm	orm
osa	osa
oss	oss
ota	ota
oto	oto
paa	paa
pag	pag
pal	pal
pam	pam
pan	pan
pap	pap
pau	pau
peo	peo
phi	phi
phn	phn
pli	pli
pol	pol
pon	pon
por	por
pra	pra
pro	pro
pus	pus
qaa	qaa
que	que
raj	raj
rap	rap
rar	rar
roa	roa
roh	roh
rom	rom
run	run
rup	rup
rus	rus
sad	sad
sag	sag
sah	sah
sai	sai
sal	sal
sam	sam
san	san
sas	sas
sat	sat
scn	scn
sco	sco
sel	sel
sem	sem
sga	sga
sgn	sgn
shn	shn
sid	sid
sin	sin
sio	sio
sit	sit
sla	sla
slv	slv
sma	sma
sme	sme
smi	smi
smj	smj
smn	smn
smo	smo
sms	sms
sna	sna
snd	snd
snk	snk
sog	sog
som	som
son	son
sot	sot
spa	spa
srd	srd
srn	srn
srp	srp
srr	srr
ssa	ssa
ssw	ssw
suk	suk
sun	sun
sus	sus
sux	sux
swa	swa
swe	swe
syc	syc
syr	syr
tah	tah
tai	tai
tam	tam
tat	tat
tel	tel
tem	tem
ter	ter
tet	tet
tgk	tgk
tgl	tgl
tha	tha
tig	tig
tir	tir
tiv	tiv
tkl	tkl
tlh	tlh
tli	tli
tmh	tmh
tog	tog
ton	ton
tpi	tpi
tsi	tsi
tsn	tsn
tso	tso
tuk	tuk
tum	tum
tup	tup
tur	tur
tut	tut
tvl	tvl
twi	twi
tyv	tyv
udm	udm
uga	uga
uig	uig
ukr	ukr
umb	umb
und	und
urd	urd
uzb	uzb
vai	vai
ven	ven
vie	vie
vol	vol
vot	vot
wak	wak
wal	wal
war	war
was	was
wen	wen
wln	wln
wol	wol
xal	xal
xho	xho
yao	yao
yap	yap
yid	yid
yor	yor
ypk	ypk
zap	zap
zbl	zbl
zen	zen
zha	zha
znd	znd
zul	zul
zun	zun
zxx	zxx
zza	zza
